date,JOLTS_OPEN,JOLTS_QUITS,UNEMPLOY,ECI_WAGES
2016-10-01,5591.0,2.1,7811.0,127.3
2016-11-01,5971.0,2.1,7553.0,
2016-12-01,5964.0,2.1,7521.0,
2017-01-01,5617.0,2.2,7468.0,128.2
2017-02-01,5923.0,2.1,7379.0,
2017-03-01,5811.0,2.2,7073.0,
2017-04-01,6091.0,2.1,7089.0,129.0
2017-05-01,5826.0,2.1,7000.0,
2017-06-01,6305.0,2.2,6873.0,
2017-07-01,6238.0,2.1,6892.0,129.9
2017-08-01,6276.0,2.1,7082.0,
2017-09-01,6320.0,2.2,6854.0,
2017-10-01,6408.0,2.2,6700.0,130.8
2017-11-01,6271.0,2.2,6774.0,
2017-12-01,6336.0,2.2,6632.0,
2018-01-01,6621.0,2.0,6489.0,132.0
2018-02-01,6552.0,2.2,6581.0,
2018-03-01,6818.0,2.2,6472.0,
2018-04-01,6877.0,2.3,6459.0,132.8
2018-05-01,7016.0,2.3,6196.0,
2018-06-01,7230.0,2.3,6447.0,
2018-07-01,7190.0,2.3,6195.0,133.9
2018-08-01,7208.0,2.3,6156.0,
2018-09-01,7411.0,2.3,6073.0,
2018-10-01,7304.0,2.3,6211.0,134.9
2018-11-01,7594.0,2.3,6115.0,
2018-12-01,7489.0,2.3,6389.0,
2019-01-01,7502.0,2.3,6475.0,135.8
2019-02-01,7066.0,2.4,6136.0,
2019-03-01,7317.0,2.3,6202.0,
2019-04-01,7272.0,2.3,5961.0,136.8
2019-05-01,7275.0,2.3,5930.0,
2019-06-01,7194.0,2.3,5935.0,
2019-07-01,7042.0,2.4,6061.0,137.9
2019-08-01,7178.0,2.3,5945.0,
2019-09-01,7124.0,2.3,5753.0,
2019-10-01,7289.0,2.3,5871.0,138.9
2019-11-01,6888.0,2.3,5868.0,
2019-12-01,6699.0,2.3,5853.0,
2020-01-01,7124.0,2.3,5869.0,140.3
2020-02-01,6966.0,2.3,5753.0,
2020-03-01,5894.0,1.9,7206.0,
2020-04-01,4606.0,1.5,23084.0,140.8
2020-05-01,5612.0,1.7,20929.0,
2020-06-01,6129.0,1.9,17652.0,
2020-07-01,6530.0,2.2,16352.0,141.6
2020-08-01,6429.0,2.1,13461.0,
2020-09-01,6511.0,2.2,12554.0,
2020-10-01,6798.0,2.3,11072.0,142.8
2020-11-01,6820.0,2.2,10694.0,
2020-12-01,6773.0,2.4,10770.0,
2021-01-01,7162.0,2.3,10260.0,144.5
2021-02-01,7827.0,2.4,10013.0,
2021-03-01,8499.0,2.5,9772.0,
2021-04-01,9346.0,2.7,9754.0,145.8
2021-05-01,9954.0,2.6,9260.0,
2021-06-01,10319.0,2.8,9481.0,
2021-07-01,10983.0,2.8,8731.0,148.0
2021-08-01,10872.0,2.8,8269.0,
2021-09-01,10834.0,2.9,7610.0,
2021-10-01,11238.0,2.8,7267.0,149.9
2021-11-01,11199.0,3.0,6729.0,
2021-12-01,11520.0,2.9,6413.0,
2022-01-01,11210.0,2.9,6533.0,151.7
2022-02-01,11698.0,2.8,6323.0,
2022-03-01,12301.0,2.9,6033.0,
2022-04-01,11861.0,3.0,5995.0,154.0
2022-05-01,11535.0,2.8,5979.0,
2022-06-01,11283.0,2.7,5975.0,
2022-07-01,11576.0,2.6,5770.0,155.8
2022-08-01,10092.0,2.8,5909.0,
2022-09-01,10800.0,2.7,5747.0,
2022-10-01,10447.0,2.6,5949.0,157.6
2022-11-01,10632.0,2.6,5918.0,
2022-12-01,10902.0,2.7,5781.0,
2023-01-01,10318.0,2.5,5770.0,159.4
2023-02-01,9857.0,2.5,5987.0,
2023-03-01,9655.0,2.4,5859.0,
2023-04-01,9966.0,2.3,5747.0,161.1
2023-05-01,9368.0,2.6,6084.0,
2023-06-01,9180.0,2.4,5985.0,
2023-07-01,8657.0,2.3,5923.0,162.8
2023-08-01,9254.0,2.3,6275.0,
2023-09-01,9259.0,2.3,6274.0,
2023-10-01,8580.0,2.3,6463.0,164.4
2023-11-01,8602.0,2.3,6226.0,
2023-12-01,8520.0,2.2,6329.0,
2024-01-01,8378.0,2.1,6175.0,166.2
2024-02-01,8440.0,2.2,6486.0,
2024-03-01,8206.0,2.1,6521.0,
2024-04-01,7529.0,2.2,6486.0,167.6
2024-05-01,7782.0,2.1,6627.0,
2024-06-01,7416.0,2.1,6881.0,
2024-07-01,7426.0,2.1,7098.0,168.9
2024-08-01,7520.0,2.1,7063.0,
2024-09-01,6943.0,2.0,6849.0,
2024-10-01,7379.0,2.0,6951.0,170.5
2024-11-01,7566.0,1.9,7089.0,
2024-12-01,7295.0,1.9,6920.0,
2025-01-01,7431.0,2.0,6865.0,171.8
2025-02-01,7242.0,2.0,7104.0,
2025-03-01,6952.0,2.2,7132.0,
2025-04-01,7098.0,2.0,7155.0,173.563
2025-05-01,7310.0,2.1,7248.0,
2025-06-01,7204.0,2.1,7054.0,
2025-07-01,7089.0,2.0,7272.0,174.948
2025-08-01,6919.0,2.0,7380.0,
2025-09-01,7169.0,1.9,7605.0,
2025-10-01,7170.0,1.9,,176.233
2025-11-01,6846.0,2.0,7781.0,
2025-12-01,6550.0,2.0,7503.0,
2026-01-01,7240.0,2.0,7368.0,177.498
2026-02-01,6922.0,1.9,7571.0,
2026-03-01,6887.0,2.0,7239.0,
2026-04-01,7585.0,1.9,7373.0,179.01
2026-05-01,7594.0,1.9,7307.0,
2026-06-01,,,7094.0,
